Key,File,Type,UsedInMainMenu,NoTranslate,english,Context
buffIcedDrink,buffs,Food,,,"Iced Drink",,
buffIcedDrinkDesc,buffs,Food,,,"This drink helps you survive in hot environments.",,
drinkYuccaJuiceSmoothieDesc,items,Food,,,This smoothie helps you survive in severely hot environments.,,

frkIceMisc,UI,Tooltip,,,Miscellaneous,,

foodApple,items,Food,,,"Apple.",,
foodAppleDesc,items,Food,,,"An Apple. Duh.",,
foodPea,items,Food,,,"Peas.",,
foodPeaDesc,items,Food,,,"Peas. Duh.",,
foodLettuce,items,Food,,,"Lettuce.",,
foodLettuceDesc,items,Food,,,"Lettuce. Duh.",,
foodCarrot,items,Food,,,"Carrot.",,
foodfoodCarrotDesc,items,Food,,,"Carrot. Duh.",,
foodBroccoli,items,Food,,,"Broccoli.",,
foodBroccoliDesc,items,Food,,,"Broccoli. Duh.",,
foodStrawberry,items,Food,,,"Strawberry.",,
foodStrawberryDesc,items,Food,,,"Strawberry. Duh.",,
foodWatermelon,items,Food,,,"Watermelon.",,
foodWatermelonDesc,items,Food,,,"Watermelon. Duh.",,

resourceMilkPowder,items,Item,,,"Powdered Milk",,,
resourceMilkPowderDesc,items,Item,,,"Just add water...",,
foodCanMixedVeg,items,Food,,,"Mixed Vegetables",,
foodCanMixedVegDesc,items,Food,,,"Can of mixed vegetables.",,

foodOmelette,items,Food,,,"Omelette",,
foodOmeletteDesc,items,Food,,,"Delicious(?) Omelette",,
foodApplePie,items,Food,,,"Apple Pie",,
foodApplePieDesc,items,Food,,,"Apple Pie\n\nNothing Like Granny used to make...",,
foodCottagePie,items,Food,,,"Cottage Pie",,
foodCottagePieDesc,items,Food,,,"Like Shephards pie, but with beef, instead of lamb...",,
foodMeatLasagne,items,Food,,,"Meat Lasagne",,
foodMeatLasagneDesc,items,Food,,,"Lasagne, with meat",,
foodVegLasagne,items,Food,,,"Vegetable Lasagne",,
foodVegLasagneDesc,items,Food,,,"Like Meat Lasagne, but not as tasty!",,

FRKCoffeeMachine,blocks,Container,,,"Working Coffee Machine",,
FRKCoffeeMachineDesc,blocks,Container,,,"This looks like it can brew some WICKED coffee!",,
FRKCoffeePot,items,item,,,"Coffee Pot",,
FRKCoffeePotDesc,items,item,,,"Essential for making a cuppa joe!",,
FRKSteamer,items,item,,,"Steamer Nozzle",,
FRKSteamerDesc,items,item,,,"Tool for creating foam in milk and coffee.",,
FRKFilter,items,item,,,"Coffee Filter",,
FRKFilterDesc,items,item,,,"Filter for, well, filtering shit.",,
FRKIceMachine,blocks,Container,,,"Ice Machine",,
FRKIceMachineDesc,blocks,Container,,,"Used for making Slushy's, Smoothies and Milkshakes",,
FRKMicrowave,blocks,Container,,,"Working Microwave",,,
FRKMicrowaveDesc,blocks,Container,,,"Used to heat up tasty, if not particularly healthy, foods",,

FRKPureMalk,items,Food,,,"Canned Malk",,
FRKPureMalkDesc,items,Food,,,"What the fuck is a Malk?\n\n(It's actually 'milk' from a Cactus, but don't tell anyone!)",,

FRKCoffeeBlack,items,Food,,,"Black Coffee",,
FRKCoffeeBlackDesc,items,Food,,,"Dark, robust, black coffee right out of an old can. Who drinks coffee from a jar?",,
FRKCoffeeCream,items,Food,,,"Malked Coffee",,
FRKCoffeeCreamDesc,items,Food,,,"Creamy. Very Very Creamy.",,
FRKCoffeeFoam,items,Food,,,"Wasteland Latte",,
FRKCoffeeFoamDesc,items,Food,,,"Just like before the world went to hell. You feel like this should cost 7 dollars.",,
FRKCoffeeBlueBerry,items,Food,,,"Flavoured Latte",,
FRKCoffeeBlueBerryDesc,items,Food,,,"Just like before the world went to hell. You feel like this should cost 7 dollars.",,
FRKCoffeePumpkin,items,Food,,,"Pumpkin Spice Latte",,
FRKCoffeeBlueBerryDesc,items,Food,,,"Just like before the world went to hell. You feel like this should cost 7 dollars.",,

drinkJarIcedTea,items,Food,,,"Iced Tea",,
drinkJarIcedTeaDesc,items,Food,,,"Delicious, refreshing, Iced tea - Good for keeping the heat away!"
drinkJarIcedCoffee,items,Food,,,"Iced Coffee",,,
drinkJarIcedCoffeeDesc,items,Food,,,"Delicious, refreshing, Iced coffee - Good for keeping the heat away!"
drinkJarBlueberrySlurpy,items,Food,,,"Blueberry Slurpy",,
drinkJarBlueberrySlurpyDesc,items,Food,,,"Delicious, refreshing, Blueberry flavoured Iced Drink - Good for keeping the heat away!"
drinkJarAppleSlurpy,items,Food,,,"Apple Slurpy",,
drinkJarAppleSlurpyDesc,items,Food,,,"Delicious, refreshing, Apple Flavoured Iced Drink - Good for keeping the heat away!"
drinkJarPumpkinSlurpy,items,Food,,,"Pumpkin Slurpy",,
drinkJarPumpkinSlurpyDesc,items,Food,,,"Delicious, refreshing, Pumpkin Flavoured Iced Drink - Good for keeping the heat away!"

foodBlueberryPieAlaMode,items,Food,,,"Blueberry Pie à la Mode",, 
foodBlueberryPieAlaModeDesc,items,Food,,,"Blueberry Pie with Ice Cream",,
foodApplePieAlaMode,items,Food,,,"Apple Pie à la Mode",, 
foodApplePieAlaModeDesc,items,Food,,,"Apple Pie with Ice Cream",,
foodPumpkinPieAlaMode,items,Food,,,"Pumpkin Pie à la Mode",, 
foodPumpkinPieAlaModeDesc,items,Food,,,"Pumpkin Pie with Ice Cream",,

microBeanCheeseBurrito,items,Item,,,"Microwaveable Bean & Cheese Burrito",,
microBeanCheeseBurritoDesc,items,Item,,,"Heat up in a microwave, and enjoy?",,
microBeefBeanBurrito,items,Item,,,"Microwaveable Bean & Beef Burrito",,
microBeefBeanBurritoDesc,items,Item,,,"Heat up in a microwave, and enjoy?",,
microBurger,items,Item,,,"Microwaveable Burger",,
microBurgerDesc,items,Item,,,"Heat up in a microwave, and enjoy?",,
microHotDog,items,Item,,,"Microwaveable HotDog",,
microHotDogDesc,items,Item,,,"Heat up in a microwave, and enjoy?",,
microMacAndCheese,items,Item,,,"Microwaveable Mac & Cheese",,
microMacAndCheeseDesc,items,Item,,,"Heat up in a microwave, and enjoy?",,
microRamenCup,items,Item,,,"Microwaveable Cup Ramen",,
microRamenCupDesc,items,Item,,,"Add Water, heat up in a microwave, and enjoy?",,
foodMicroBeanCheeseBurrito,items,Food,,,"Cooked Bean & Cheese Burrito",,
foodMicroBeanCheeseBurritoDesc,items,Food,,,"A delcious(?) Bean and Cheese Burrito. \nIt's food - but not necessarily [i]healthy...[/i]",,
foodMicroBeefBeanBurrito,items,Food,,,"Cooked Bean & Beef Burrito",,
foodMicroBeefBeanBurritoDesc,items,Food,,,"A delcious(?) Bean and Beef Burrito. \nIt's food - but not necessarily [i]healthy...[/i]",,
foodMicroBurger,items,Food,,,"Cooked Burger",,
foodMicroBurgerDesc,items,Food,,,"A delcious(?) Burger. \nIt's food, but not necessarily [i]healthy...[/i]",,
foodMicroHotDog,items,Food,,,"Cooked HotDog",,
foodMicroHotDogDesc,items,Food,,,"A delcious(?) HotDog. \nIt's food, but not necessarily [i]healthy...[/i]",,
foodMicroMacAndCheese,items,Food,,,"Cooked Mac & Cheese",,
foodMicroMacAndCheeseDesc,items,Food,,,"Delcious(?) Mac & Cheese. \nIt's food, but not necessarily [i]healthy...[/i]",,
foodMicroRamenCup,items,Food,,,"Cooked Ramen",,
foodMicroRamenCupDesc,items,Food,,,"Delcious(?) Ramen in a cup. \nIt's food, but not necessarily [i]healthy...[/i]",,

resourceCropHopsFlower,items,Farming,,,"Vegetable Plant",,
resourceCropHopsFlowerDesc,items,Farming,,,"Magical Plant that grows different vegetables...",,
